ENA_SAMPLE_ACCESSION;ENA_ALIAS;ENA_RUN_ACCESSION;REPLICA;COLLECTION_DATE;COMPLETE_NAME;COUNTRY;CITY;LATITUDE;LONGITUDE;PLANT;SAMPLING TYPE;SEWAGE TYPE;;;;;;;;;;;;;
ERS17759492;1007160;ERR12510646;1;2019-04-26;DTU_2020_1007160_1_MG_RD_CPH_Sewage_529;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759491;1007241;ERR12510749;1;2020-06-04;DTU_2020_1007241_1_MG_RD_CPH_Sewage_691;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759491;1007241;ERR12510750;2;2020-06-04;DTU_2020_1007241_2_MG_RD_CPH_Sewage_691;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759490;1007257;ERR12510767;1;2020-07-14;DTU_2020_1007257_1_MG_RD_CPH_Sewage_718;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759489;1007223;ERR12510724;1;2020-03-20;DTU_2020_1007223_1_MG_RD_CPH_Sewage_650;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759489;1007223;ERR12510725;2;2020-03-20;DTU_2020_1007223_2_MG_RD_CPH_Sewage_650;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759488;1007254;ERR12510764;1;2020-07-07;DTU_2020_1007254_1_MG_RD_CPH_Sewage_715;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759487;1007157;ERR12510644;1;2019-03-27;DTU_2020_1007157_1_MG_RD_CPH_Sewage_517;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759486;1007188;ERR12510680;1;2019-12-02;DTU_2020_1007188_1_MG_RD_CPH_Sewage_610;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759486;1007188;ERR12510681;2;2019-12-02;DTU_2020_1007188_2_MG_RD_CPH_Sewage_610;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
